시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
합성2동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 합성남8길 46,경상남도 창원시 마산회원구 합성동 205-5,35.2390187,128.5867848,합성2동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
회원1동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 회원동11길 7,경상남도 창원시 마산회원구 회원동 62-4,35.2183732,128.5740826,회원1동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
내서읍행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,경상남도 창원시 마산회원구 내서읍 중리 1049-1,35.2467855,128.5076517,내서읍사무소 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
마산역,경상남도,창원시,48127,경상남도 창원시 마산회원구 마산역광장로 18,경상남도 창원시 마산회원구 합성동 764-3,35.2361096,128.5772175,마산역 3층,04:00,23:59,04:30,23:59,04:30,23:59,2,Y,Y,마산역,1544-7788,2026-05-31,5670000,경상남도 창원시
경상남도종합사회복지관,경상남도,창원시,48127,경상남도 창원시 마산회원구 팔용로 272,경상남도 창원시 마산회원구 구암동 31,35.2482819,128.6009494,경상남도종합사회복지관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도종합사회복지관,055-298-8600,2026-05-31,5670000,경상남도 창원시
마산회원구청,경상남도,창원시,48127,경상남도 창원시 마산회원구 삼호로 63,경상남도 창원시 마산회원구 양덕동 477,35.2219517,128.5795821,마산회원구청 1층로비,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,N,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
마산의료원,경상남도,창원시,48125,경상남도 창원시 마산합포구 3·15대로 231,경상남도 창원시 마산합포구 장군동4가 3-6,35.1991717,128.565560,마산의료원 1층,08:30,17:30,00:00,00:00,00:00,00:00,2,Y,Y,마산의료원,055-249-1000,2026-05-31,5670000,경상남도 창원시
마산합포노인종합복지관,경상남도,창원시,48125,경상남도 창원시 마산합포구 동서남1길 5,경상남도 창원시 마산합포구 신포동2가 48-1,35.2023666,128.5710934,마산합포노인종합복지관 1층,09:00,17:00,00:00,00:00,00:00,00:00,2,Y,Y,마산합포노인종합복지관,055-714-9183,2026-05-31,5670000,경상남도 창원시
진동면행정복지센터,경상남도,창원시,48125,경상남도 창원시 마산합포구 진동면 신서촌로 11,경상남도 창원시 마산합포구 진동면 진동리 855-5,35.1158213,128.4842208,진동면사무소 입구,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상남도 창원시 마산합포구청,055-220-4384,2026-05-31,5670000,경상남도 창원시
마산장애인복지관,경상남도,창원시,48125,경상남도 창원시 마산합포구 반월서7길 59,경상남도 창원시 마산합포구 신월동 29-70,35.1943927,128.5586955,마산장애인복지관 3층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 마산합포구청,055-220-4384,2026-05-31,5670000,경상남도 창원시
마산합포구청,경상남도,창원시,48125,경상남도 창원시 마산합포구 3·15대로 210,경상남도 창원시 마산합포구 중앙동3가 4-11,35.196927,128.567836,마산합포구청 2층 휴게실 옆,07:30,19:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 마산합포구청,055-220-4384,2026-05-31,5670000,경상남도 창원시
경상사회복지센터,경상남도,창원시,48121,경상남도 창원시 의창구 동읍 동읍로457번길 48,경상남도 창원시 의창구 동읍 화양리 1039-3,35.3095941,128.6512195,경상사회복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상사회복지센터,055-237-0880,2026-05-31,5670000,경상남도 창원시
창원시시립곰두리체육센터,경상남도,창원시,48121,경상남도 창원시 의창구 원이대로114번길 6,경상남도 창원시 의창구 도계동 470,35.2532239,128.636924,창원시시립곰두리체육센터 1층,06:00,22:00,00:00,00:00,00:00,00:00,2,Y,N,창원시시립곰두리체육센터,055-212-4387,2026-05-31,5670000,경상남도 창원시
창원시장애인종합복지관,경상남도,창원시,48121,경상남도 창원시 의창구 봉곡로97번길 87,경상남도 창원시 의창구 봉곡동 180-6,35.2504192,128.6795386,창원시장애인종합복지관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,창원시장애인종합복지관,055-212-4387,2026-05-31,5670000,경상남도 창원시
동읍행정복지센터,경상남도,창원시,48121,경상남도 창원시 의창구 동읍 동읍로 88,경상남도 창원시 의창구 동읍 용잠리 575,35.2843693,128.6827261,동읍행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
창원중앙역,경상남도,창원시,48121,경상남도 창원시 의창구 상남로 381,경상남도 창원시 의창구 용동 산 32-9,35.2422531,128.701330,"창원중앙역 1층, 고객맞이방 내",04:30,23:59,04:30,23:59,04:30,23:59,2,Y,Y,창원중앙역,1544-7788,2026-05-31,5670000,경상남도 창원시
창원역,경상남도,창원시,48121,경상남도 창원시 의창구 의창대로 67,경상남도 창원시 의창구 동정동 708-63,35.2570398,128.6064989,"창원역 2층, 매표소 옆",04:30,23:59,04:30,23:59,04:30,23:59,2,Y,Y,창원역,1544-7788,2026-05-31,5670000,경상남도 창원시
의창노인종합복지관,경상남도,창원시,48121,경상남도 창원시 의창구 서곡길 15,경상남도 창원시 의창구 명곡동 30,35.2528991,128.6477887,의창노인종합복지관 로비층,09:00,17:00,00:00,00:00,00:00,00:00,2,Y,Y,의창노인종합복지관,055-712-0235,2026-05-31,5670000,경상남도 창원시
창원시직업재활센터,경상남도,창원시,48121,경상남도 창원시 의창구 원이대로114번길 6,경상남도 창원시 의창구 도계동 470,35.2532237,128.6369227,창원시직업재활센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,창원시직업재활센터,055-288-3220,2026-05-31,5670000,경상남도 창원시
창원경상대학교병원,경상남도,창원시,48123,경상남도 창원시 성산구 삼정자로 11,경상남도 창원시 성산구 성주동 146-1,35.1992137,128.7078069,"창원경상대학교병원 정문, 휠체어 대여소 옆",00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,창원경상대학교병원,055-214-1000,2026-05-31,5670000,경상남도 창원시
풀잎마을,경상남도,창원시,48123,경상남도 창원시 성산구 신촌로134번길 43,경상남도 창원시 성산구 신촌동 30,35.1965998,128.6243057,홍익재활병원 지하1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,풀잎마을,055-286-1117,2026-05-31,5670000,경상남도 창원시
성산노인종합복지관,경상남도,창원시,48123,경상남도 창원시 성산구 창이대로 781,경상남도 창원시 성산구 대방동 330,35.2165111,128.7046581,성산노인종합복지관 지하1층,09:00,17:00,00:00,00:00,00:00,00:00,2,Y,Y,성산노인종합복지관,055-712-0195,2026-05-31,5670000,경상남도 창원시
용지동행정복지센터,경상남도,창원시,48123,경상남도 창원시 성산구 용지로239번길 19-4,경상남도 창원시 성산구 용호동 62-1,35.2358991,128.6841029,용지동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 성산구청,055-212-5844,2026-05-31,5670000,경상남도 창원시
웅남동행정복지센터,경상남도,창원시,48123,경상남도 창원시 성산구 신촌로 50,경상남도 창원시 성산구 신촌동 14,35.2053567,128.6271836,웅남동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 성산구청,055-272-4389,2026-05-31,5670000,경상남도 창원시
상남동행정복지센터,경상남도,창원시,48123,경상남도 창원시 성산구 동산로 73,경상남도 창원시 성산구 상남동 89-3,35.2159875,128.6873774,상남동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 성산구청,055-272-4389,2026-05-31,5670000,경상남도 창원시
성산구청,경상남도,창원시,48123,경상남도 창원시 성산구 창원대로 1086,경상남도 창원시 성산구 성주동 5,35.1983031,128.7027948,성산구청 1층 당직실 앞,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,N,경상남도 창원시 성산구청,055-272-4389,2026-05-31,5670000,경상남도 창원시
창원시청,경상남도,창원시,48123,경상남도 창원시 성산구 중앙대로 151,경상남도 창원시 성산구 용호동 1,35.2279614,128.6819403,창원시청 본관 1층,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,N,경상남도 창원시,055-225-3935,2026-05-31,5670000,경상남도 창원시
내서종합사회복지관,경상남도,창원시,48127,경상남도 창원시 마산회원구 내서읍 상곡로 49,경상남도 창원시 마산회원구 내서읍 상곡리 193,35.24365479,128.5000383,내서종합사회복지관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,내서종합사회복지관,055-231-8017,2026-05-31,5670000,경상남도 창원시
장애인복지관,충청북도,증평군,55700,충청북도 증평군 증평읍 보건복지로 56-1,,36.77517651,127.5852442,장애인복지관 정문 앞 충전소 내,09:00,18:00,00:00,00:00,00:00,00:00,6,N,Y,충청북도 증평군청,043-835-3533,2026-06-08,5570000,충청북도 증평군
장애인회관,충청북도,증평군,55700,충청북도 증평군 증평읍 광장로 118,,36.78404915,127.5848009,1층 정문,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,충청북도 증평군청,043-835-3533,2026-06-08,5570000,충청북도 증평군
초계면사무소,경상남도,합천군,48890,경상남도 합천군 초계면 초계중앙로 45,경상남도 합천군 초계면 초계리 85-1,35.55959331,128.2654655,초계면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 초계면사무소,055-930-5595,2026-06-22,5480000,경상남도 합천군
율곡면사무소,경상남도,합천군,48890,경상남도 합천군 율곡면 영전3길 26,경상남도 합천군 율곡면 영전리 455-1,35.57235439,128.2180099,율곡면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 율곡면사무소,055-930-5553,2026-06-22,5480000,경상남도 합천군
야로면사무소,경상남도,합천군,48890,경상남도 합천군 야로면 향교길 20,경상남도 합천군 야로면 구정리 290-1,35.70524586,128.1676233,야로면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 야로면사무소,055-930-5513,2026-06-22,5480000,경상남도 합천군
봉산면사무소,경상남도,합천군,48890,경상남도 합천군 봉산면 김봉길 17,경상남도 합천군 봉산면 김봉리 343-5,35.6261377,128.0418269,봉산면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 봉산면사무소,055-930-5393,2026-06-22,5480000,경상남도 합천군
합천읍사무소,경상남도,합천군,48890,경상남도 합천군 합천읍 동서로 61,경상남도 합천군 합천읍 합천리 579,35.5671753,128.1590344,합천읍사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,경상남도 합천군 합천읍사무소,055-930-5343,2026-06-22,5480000,경상남도 합천군
합천군청,경상남도,합천군,48890,경상남도 합천군 합천읍 동서로 119,경상남도 합천군 합천읍 합천리 337,35.56665152,128.1658262,합천군청 입구 왼쪽,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,N,경상남도 합천군청,055-930-3284,2026-06-22,5480000,경상남도 합천군
종합사회복지관 별관,경상남도,합천군,48890,경상남도 합천군 합천읍 남정길 79,경상남도 합천군 합천읍 합천리 497-8,35.56841416,128.1569121,종합사회복지관 별관 입구 우측,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,N,경상남도 합천군청,055-930-4722,2026-06-22,5480000,경상남도 합천군
대병면사무소,경상남도,합천군,48890,경상남도 합천군 대병면 신성동길 23,경상남도 합천군 대병면 회양리 896-1,35.52143222,128.0147071,대병면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 대병면사무소,055-930-5952,2026-06-22,5480000,경상남도 합천군
가회면사무소,경상남도,합천군,48890,경상남도 합천군 가회면 황매산로 52,경상남도 합천군 가회면 덕촌리 385-2,35.4351968,128.0336808,가회면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 가회면사무소,055-930-5913,2026-06-22,5480000,경상남도 합천군
삼가면사무소,경상남도,합천군,48890,경상남도 합천군 삼가면 삼가중앙2길 12-8,경상남도 합천군 삼가면 금리 62-6,35.41415572,128.1217656,삼가면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 삼가면사무소,055-930-5872,2026-06-22,5480000,경상남도 합천군
쌍백면사무소,경상남도,합천군,48890,경상남도 합천군 쌍백면 쌍백중앙로 63,경상남도 합천군 쌍백면 평구리 523-1,35.44129189,128.1454961,쌍백면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,경상남도 합천군 쌍백면사무소,055-930-5833,2026-06-22,5480000,경상남도 합천군
대양면사무소,경상남도,합천군,48890,경상남도 합천군 대양면 대한로 5,경상남도 합천군 대양면 덕정리 870-3,35.51660301,128.1742555,대양면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 대양면사무소,055-930-5792,2026-06-22,5480000,경상남도 합천군
적중면사무소,경상남도,합천군,48890,경상남도 합천군 적중면 적중로 98,경상남도 합천군 적중면 상부리 16-1,35.54758166,128.2785681,적중면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 적중면사무소,055-930-5752,2026-06-22,5480000,경상남도 합천군
청덕면사무소,경상남도,합천군,48890,경상남도 합천군 청덕면 동부로 1754,경상남도 합천군 청덕면 두곡리 347-1,35.55937905,128.3217718,청덕면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 청덕면사무소,055-930-5712,2026-06-22,5480000,경상남도 합천군
덕곡면사무소,경상남도,합천군,48890,경상남도 합천군 덕곡면 율지2길11,경상남도 합천군 덕곡면 율지리 143-2,35.61516118,128.3591181,덕곡면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 덕곡면사무소,055-930-5672,2026-06-22,5480000,경상남도 합천군
쌍책면사무소,경상남도,합천군,48890,경상남도 합천군 쌍책면 성산큰길 48,경상남도 합천군 쌍책면 성산리 602,35.57596723,128.282249,쌍책면사무소 민원대 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경상남도 합천군 쌍책면사무소,055-930-5632,2026-06-22,5480000,경상남도 합천군
영산노인복지회관,경상남도,창녕군,48740,경상남도 창녕군 영산면 원다리길 27,경상남도 창녕군 영산면 동리 235,35.45236378,128.5284875,영산노인복지회관 정문 좌측편(컴퓨터실 앞),09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창녕군청,055-530-2114,2026-05-08,5410000,경상남도 창녕군
창녕노인복지회관,경상남도,창녕군,48740,경상남도 창녕군 창녕읍 창녕대로 176,경상남도 창녕군 창녕읍 교하리 16-3,35.53075991,128.5007665,창녕노인복지회관 정문 우측편,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창녕군청,055-530-2114,2026-05-08,5410000,경상남도 창녕군
